ID,age,gender,pastvote_EURef,Vote2015R,social_grade,govregion,W8,starttime,endtime,disposition,Q1,Q2
249,48,1,1,2,2,3,.940454504209032,7/19/2016,7/19/2016,1,2,1
255,37,1,3,7,1,3,1.95266144962113,7/19/2016,7/19/2016,1,3,3
256,63,2,2,2,1,3,1.1127224315727,7/19/2016,7/19/2016,1,3,1
345,69,1,2,4,2,3,.953367938464076,7/19/2016,7/19/2016,1,5,1
353,61,1,1,7,2,3,.521092885614919,7/19/2016,7/19/2016,1,5,1
359,66,1,1,2,1,3,.718028374453465,7/19/2016,7/19/2016,1,1,5
360,52,2,2,2,2,3,.887770696751612,7/19/2016,7/19/2016,1,3,1
364,65,1,2,1,2,3,1.23958218812554,7/19/2016,7/19/2016,1,5,1
377,67,1,1,6,1,3,.909391949074406,7/19/2016,7/19/2016,1,1,1
385,65,1,2,2,2,3,.896691474302414,7/19/2016,7/19/2016,1,3,1
392,66,2,1,1,1,3,.857086266009411,7/19/2016,7/19/2016,1,3,1
406,47,2,1,1,2,3,.851257357941174,7/19/2016,7/19/2016,1,2,2
426,68,2,1,2,1,3,.814140197776498,7/19/2016,7/19/2016,1,1,1
479,54,1,1,6,1,3,.982007444867454,7/19/2016,7/19/2016,1,1,1
493,59,1,1,1,1,3,.777098498429132,7/19/2016,7/19/2016,1,3,1
505,46,2,2,4,2,3,.899870341240151,7/19/2016,7/19/2016,1,5,1
506,67,2,1,6,1,3,.717626896249233,7/19/2016,7/19/2016,1,1,1
562,73,2,2,2,2,3,1.40670878312908,7/19/2016,7/19/2016,1,4,1
564,37,2,1,2,2,3,.637252322592926,7/19/2016,7/19/2016,1,3,1
575,66,2,1,5,1,3,.622733889257219,7/19/2016,7/19/2016,1,2,2
606,26,1,2,1,1,3,1.05680796367222,7/19/2016,7/19/2016,1,5,1
611,59,1,1,6,1,3,.695310756740725,7/19/2016,7/19/2016,1,4,1
612,44,2,2,5,2,3,.647389629911029,7/19/2016,7/19/2016,1,3,1
702,76,1,1,2,2,3,.856675103281313,7/19/2016,7/19/2016,1,2,2
719,37,1,1,6,2,3,.77378200403615,7/19/2016,7/19/2016,1,3,1
721,44,1,2,7,1,3,.767845851129737,7/19/2016,7/19/2016,1,5,1
724,54,2,1,2,1,3,.674687639915371,7/19/2016,7/19/2016,1,2,1
727,44,1,2,2,2,3,.961025579890656,7/19/2016,7/19/2016,1,2,2
736,69,2,2,6,1,3,.855926247709456,7/19/2016,7/19/2016,1,3,1
738,70,1,2,4,2,3,.953367938464076,7/19/2016,7/19/2016,1,4,1
756,64,2,2,1,1,3,.976251997734219,7/19/2016,7/19/2016,1,5,1
762,43,1,1,3,1,3,1.19845362675338,7/19/2016,7/20/2016,1,1,1
